"fmc","fmp","biomass","bbmsy","catch","u","f"
"NPFMC","Salmon",0,0,0,NA,NA
"NPFMC","Salmon",0.01,0.02,0,0,0
"NPFMC","Salmon",0.02,0.04,0,0,0
"NPFMC","Salmon",0.03,0.06,0,0,0
"NPFMC","Salmon",0.04,0.08,0,0,0
"NPFMC","Salmon",0.05,0.1,0,0,0
"NPFMC","Salmon",0.06,0.12,0,0,0
"NPFMC","Salmon",0.07,0.14,0,0,0
"NPFMC","Salmon",0.08,0.16,0,0,0
"NPFMC","Salmon",0.09,0.18,0,0,0
"NPFMC","Salmon",0.1,0.2,0,0,0
"NPFMC","Salmon",0.11,0.22,0,0,0
"NPFMC","Salmon",0.12,0.24,0,0,0
"NPFMC","Salmon",0.13,0.26,0,0,0
"NPFMC","Salmon",0.14,0.28,0,0,0
"NPFMC","Salmon",0.15,0.3,0,0,0
"NPFMC","Salmon",0.16,0.32,0,0,0
"NPFMC","Salmon",0.17,0.34,0,0,0
"NPFMC","Salmon",0.18,0.36,0,0,0
"NPFMC","Salmon",0.19,0.38,0,0,0
"NPFMC","Salmon",0.2,0.4,0,0,0
"NPFMC","Salmon",0.21,0.42,0,0,0
"NPFMC","Salmon",0.22,0.44,0,0,0
"NPFMC","Salmon",0.23,0.46,0,0,0
"NPFMC","Salmon",0.24,0.48,0,0,0
"NPFMC","Salmon",0.25,0.5,0,0,0
"NPFMC","Salmon",0.26,0.52,0,0,0
"NPFMC","Salmon",0.27,0.54,0,0,0
"NPFMC","Salmon",0.28,0.56,0,0,0
"NPFMC","Salmon",0.29,0.58,0,0,0
"NPFMC","Salmon",0.3,0.6,0,0,0
"NPFMC","Salmon",0.31,0.62,0,0,0
"NPFMC","Salmon",0.32,0.64,0,0,0
"NPFMC","Salmon",0.33,0.66,0,0,0
"NPFMC","Salmon",0.34,0.68,0,0,0
"NPFMC","Salmon",0.35,0.7,0,0,0
"NPFMC","Salmon",0.36,0.72,0,0,0
"NPFMC","Salmon",0.37,0.74,0,0,0
"NPFMC","Salmon",0.38,0.76,0,0,0
"NPFMC","Salmon",0.39,0.78,0,0,0
"NPFMC","Salmon",0.4,0.8,0,0,0
"NPFMC","Salmon",0.41,0.82,0,0,0
"NPFMC","Salmon",0.42,0.84,0,0,0
"NPFMC","Salmon",0.43,0.86,0,0,0
"NPFMC","Salmon",0.44,0.88,0,0,0
"NPFMC","Salmon",0.45,0.9,0,0,0
"NPFMC","Salmon",0.46,0.92,0,0,0
"NPFMC","Salmon",0.47,0.94,0,0,0
"NPFMC","Salmon",0.48,0.96,0,0,0
"NPFMC","Salmon",0.49,0.98,0,0,0
"NPFMC","Salmon",0.5,1,0,0,0
"NPFMC","Salmon",0.51,1.02,0.01,0.0196078431372549,0.0198026272961798
"NPFMC","Salmon",0.52,1.04,0.02,0.0384615384615385,0.0392207131532814
"NPFMC","Salmon",0.53,1.06,0.03,0.0566037735849057,0.0582689081239759
"NPFMC","Salmon",0.54,1.08,0.04,0.0740740740740741,0.0769610411361284
"NPFMC","Salmon",0.55,1.1,0.05,0.090909090909091,0.0953101798043249
"NPFMC","Salmon",0.56,1.12,0.0600000000000001,0.107142857142857,0.113328685307003
"NPFMC","Salmon",0.57,1.14,0.0700000000000001,0.12280701754386,0.131028262406404
"NPFMC","Salmon",0.58,1.16,0.08,0.137931034482759,0.148420005118273
"NPFMC","Salmon",0.59,1.18,0.09,0.152542372881356,0.165514438477573
"NPFMC","Salmon",0.6,1.2,0.1,0.166666666666667,0.182321556793955
"NPFMC","Salmon",0.61,1.22,0.11,0.180327868852459,0.198850858745165
"NPFMC","Salmon",0.62,1.24,0.12,0.193548387096774,0.215111379616946
"NPFMC","Salmon",0.63,1.26,0.13,0.206349206349206,0.231111720963387
"NPFMC","Salmon",0.64,1.28,0.14,0.21875,0.246860077931526
"NPFMC","Salmon",0.65,1.3,0.15,0.230769230769231,0.262364264467491
"NPFMC","Salmon",0.66,1.32,0.16,0.242424242424242,0.277631736598279
"NPFMC","Salmon",0.67,1.34,0.17,0.253731343283582,0.29266961396282
"NPFMC","Salmon",0.68,1.36,0.18,0.264705882352941,0.307484699747961
"NPFMC","Salmon",0.69,1.38,0.19,0.27536231884058,0.322083499169113
"NPFMC","Salmon",0.7,1.4,0.2,0.285714285714286,0.336472236621213
"NPFMC","Salmon",0.71,1.42,0.21,0.295774647887324,0.350656871613169
"NPFMC","Salmon",0.72,1.44,0.22,0.305555555555556,0.364643113587909
"NPFMC","Salmon",0.73,1.46,0.23,0.315068493150685,0.378436435720245
"NPFMC","Salmon",0.74,1.48,0.24,0.324324324324324,0.392042087776024
"NPFMC","Salmon",0.75,1.5,0.25,0.333333333333333,0.405465108108164
"NPFMC","Salmon",0.76,1.52,0.26,0.342105263157895,0.418710334858185
"NPFMC","Salmon",0.77,1.54,0.27,0.350649350649351,0.431782416425538
"NPFMC","Salmon",0.78,1.56,0.28,0.358974358974359,0.444685821261446
"NPFMC","Salmon",0.79,1.58,0.29,0.367088607594937,0.457424847038875
"NPFMC","Salmon",0.8,1.6,0.3,0.375,0.470003629245736
"NPFMC","Salmon",0.81,1.62,0.31,0.382716049382716,0.482426149244293
"NPFMC","Salmon",0.82,1.64,0.32,0.390243902439024,0.494696241836107
"NPFMC","Salmon",0.83,1.66,0.33,0.397590361445783,0.506817602368452
"NPFMC","Salmon",0.84,1.68,0.34,0.404761904761905,0.518793793415168
"NPFMC","Salmon",0.85,1.7,0.35,0.411764705882353,0.53062825106217
"NPFMC","Salmon",0.86,1.72,0.36,0.418604651162791,0.542324290825362
"NPFMC","Salmon",0.87,1.74,0.37,0.425287356321839,0.553885113226438
"NPFMC","Salmon",0.88,1.76,0.38,0.431818181818182,0.565313809050061
"NPFMC","Salmon",0.89,1.78,0.39,0.438202247191011,0.576613364303994
"NPFMC","Salmon",0.9,1.8,0.4,0.444444444444444,0.587786664902119
"NPFMC","Salmon",0.91,1.82,0.41,0.450549450549451,0.598836501088704
"NPFMC","Salmon",0.92,1.84,0.42,0.456521739130435,0.609765571620894
"NPFMC","Salmon",0.93,1.86,0.43,0.462365591397849,0.62057648772511
"NPFMC","Salmon",0.94,1.88,0.44,0.468085106382979,0.631271776841858
"NPFMC","Salmon",0.95,1.9,0.45,0.473684210526316,0.641853886172395
"NPFMC","Salmon",0.96,1.92,0.46,0.479166666666667,0.65232518603969
"NPFMC","Salmon",0.97,1.94,0.47,0.484536082474227,0.662687973075237
"NPFMC","Salmon",0.98,1.96,0.48,0.489795918367347,0.672944473242426
"NPFMC","Salmon",0.99,1.98,0.49,0.494949494949495,0.683096844706444
"NPFMC","Salmon",1,2,0.5,0.5,0.693147180559945
