"fmc","fmp","biomass","bbmsy","value","catch","u","f"
"WPFMC","All FMPs",0,0,"OFL",0,NA,NA
"WPFMC","All FMPs",0.01,0.02,"OFL",0.001,0.1,0.105360515657826
"WPFMC","All FMPs",0.02,0.04,"OFL",0.002,0.1,0.105360515657826
"WPFMC","All FMPs",0.03,0.06,"OFL",0.003,0.1,0.105360515657826
"WPFMC","All FMPs",0.04,0.08,"OFL",0.004,0.1,0.105360515657826
"WPFMC","All FMPs",0.05,0.1,"OFL",0.005,0.1,0.105360515657826
"WPFMC","All FMPs",0.06,0.12,"OFL",0.006,0.1,0.105360515657826
"WPFMC","All FMPs",0.07,0.14,"OFL",0.007,0.1,0.105360515657826
"WPFMC","All FMPs",0.08,0.16,"OFL",0.008,0.1,0.105360515657826
"WPFMC","All FMPs",0.09,0.18,"OFL",0.009,0.1,0.105360515657826
"WPFMC","All FMPs",0.1,0.2,"OFL",0.01,0.1,0.105360515657826
"WPFMC","All FMPs",0.11,0.22,"OFL",0.011,0.1,0.105360515657826
"WPFMC","All FMPs",0.12,0.24,"OFL",0.012,0.1,0.105360515657826
"WPFMC","All FMPs",0.13,0.26,"OFL",0.013,0.1,0.105360515657826
"WPFMC","All FMPs",0.14,0.28,"OFL",0.014,0.1,0.105360515657826
"WPFMC","All FMPs",0.15,0.3,"OFL",0.015,0.1,0.105360515657826
"WPFMC","All FMPs",0.16,0.32,"OFL",0.016,0.1,0.105360515657826
"WPFMC","All FMPs",0.17,0.34,"OFL",0.017,0.1,0.105360515657826
"WPFMC","All FMPs",0.18,0.36,"OFL",0.018,0.1,0.105360515657826
"WPFMC","All FMPs",0.19,0.38,"OFL",0.019,0.1,0.105360515657826
"WPFMC","All FMPs",0.2,0.4,"OFL",0.02,0.1,0.105360515657826
"WPFMC","All FMPs",0.21,0.42,"OFL",0.021,0.1,0.105360515657826
"WPFMC","All FMPs",0.22,0.44,"OFL",0.022,0.1,0.105360515657826
"WPFMC","All FMPs",0.23,0.46,"OFL",0.023,0.1,0.105360515657826
"WPFMC","All FMPs",0.24,0.48,"OFL",0.024,0.1,0.105360515657826
"WPFMC","All FMPs",0.25,0.5,"OFL",0.025,0.1,0.105360515657826
"WPFMC","All FMPs",0.26,0.52,"OFL",0.026,0.1,0.105360515657826
"WPFMC","All FMPs",0.27,0.54,"OFL",0.027,0.1,0.105360515657826
"WPFMC","All FMPs",0.28,0.56,"OFL",0.028,0.1,0.105360515657826
"WPFMC","All FMPs",0.29,0.58,"OFL",0.029,0.1,0.105360515657826
"WPFMC","All FMPs",0.3,0.6,"OFL",0.03,0.1,0.105360515657826
"WPFMC","All FMPs",0.31,0.62,"OFL",0.031,0.1,0.105360515657826
"WPFMC","All FMPs",0.32,0.64,"OFL",0.032,0.1,0.105360515657826
"WPFMC","All FMPs",0.33,0.66,"OFL",0.033,0.1,0.105360515657826
"WPFMC","All FMPs",0.34,0.68,"OFL",0.034,0.1,0.105360515657826
"WPFMC","All FMPs",0.35,0.7,"OFL",0.035,0.1,0.105360515657826
"WPFMC","All FMPs",0.36,0.72,"OFL",0.036,0.1,0.105360515657826
"WPFMC","All FMPs",0.37,0.74,"OFL",0.037,0.1,0.105360515657826
"WPFMC","All FMPs",0.38,0.76,"OFL",0.038,0.1,0.105360515657826
"WPFMC","All FMPs",0.39,0.78,"OFL",0.039,0.1,0.105360515657826
"WPFMC","All FMPs",0.4,0.8,"OFL",0.04,0.1,0.105360515657826
"WPFMC","All FMPs",0.41,0.82,"OFL",0.041,0.1,0.105360515657826
"WPFMC","All FMPs",0.42,0.84,"OFL",0.042,0.1,0.105360515657826
"WPFMC","All FMPs",0.43,0.86,"OFL",0.043,0.1,0.105360515657826
"WPFMC","All FMPs",0.44,0.88,"OFL",0.044,0.1,0.105360515657826
"WPFMC","All FMPs",0.45,0.9,"OFL",0.045,0.1,0.105360515657826
"WPFMC","All FMPs",0.46,0.92,"OFL",0.046,0.1,0.105360515657826
"WPFMC","All FMPs",0.47,0.94,"OFL",0.047,0.1,0.105360515657826
"WPFMC","All FMPs",0.48,0.96,"OFL",0.048,0.1,0.105360515657826
"WPFMC","All FMPs",0.49,0.98,"OFL",0.049,0.1,0.105360515657826
"WPFMC","All FMPs",0.5,1,"OFL",0.05,0.1,0.105360515657826
"WPFMC","All FMPs",0.51,1.02,"OFL",0.051,0.1,0.105360515657826
"WPFMC","All FMPs",0.52,1.04,"OFL",0.052,0.1,0.105360515657826
"WPFMC","All FMPs",0.53,1.06,"OFL",0.053,0.1,0.105360515657826
"WPFMC","All FMPs",0.54,1.08,"OFL",0.054,0.1,0.105360515657826
"WPFMC","All FMPs",0.55,1.1,"OFL",0.055,0.1,0.105360515657826
"WPFMC","All FMPs",0.56,1.12,"OFL",0.056,0.1,0.105360515657826
"WPFMC","All FMPs",0.57,1.14,"OFL",0.057,0.1,0.105360515657826
"WPFMC","All FMPs",0.58,1.16,"OFL",0.058,0.1,0.105360515657826
"WPFMC","All FMPs",0.59,1.18,"OFL",0.059,0.1,0.105360515657826
"WPFMC","All FMPs",0.6,1.2,"OFL",0.06,0.1,0.105360515657826
"WPFMC","All FMPs",0.61,1.22,"OFL",0.061,0.1,0.105360515657826
"WPFMC","All FMPs",0.62,1.24,"OFL",0.062,0.1,0.105360515657826
"WPFMC","All FMPs",0.63,1.26,"OFL",0.063,0.1,0.105360515657826
"WPFMC","All FMPs",0.64,1.28,"OFL",0.064,0.1,0.105360515657826
"WPFMC","All FMPs",0.65,1.3,"OFL",0.065,0.1,0.105360515657826
"WPFMC","All FMPs",0.66,1.32,"OFL",0.066,0.1,0.105360515657826
"WPFMC","All FMPs",0.67,1.34,"OFL",0.067,0.1,0.105360515657826
"WPFMC","All FMPs",0.68,1.36,"OFL",0.068,0.1,0.105360515657826
"WPFMC","All FMPs",0.69,1.38,"OFL",0.069,0.1,0.105360515657826
"WPFMC","All FMPs",0.7,1.4,"OFL",0.07,0.1,0.105360515657826
"WPFMC","All FMPs",0.71,1.42,"OFL",0.071,0.1,0.105360515657826
"WPFMC","All FMPs",0.72,1.44,"OFL",0.072,0.1,0.105360515657826
"WPFMC","All FMPs",0.73,1.46,"OFL",0.073,0.1,0.105360515657826
"WPFMC","All FMPs",0.74,1.48,"OFL",0.074,0.1,0.105360515657826
"WPFMC","All FMPs",0.75,1.5,"OFL",0.075,0.1,0.105360515657826
"WPFMC","All FMPs",0.76,1.52,"OFL",0.076,0.1,0.105360515657826
"WPFMC","All FMPs",0.77,1.54,"OFL",0.077,0.1,0.105360515657826
"WPFMC","All FMPs",0.78,1.56,"OFL",0.078,0.1,0.105360515657826
"WPFMC","All FMPs",0.79,1.58,"OFL",0.079,0.1,0.105360515657826
"WPFMC","All FMPs",0.8,1.6,"OFL",0.08,0.1,0.105360515657826
"WPFMC","All FMPs",0.81,1.62,"OFL",0.081,0.1,0.105360515657826
"WPFMC","All FMPs",0.82,1.64,"OFL",0.082,0.1,0.105360515657826
"WPFMC","All FMPs",0.83,1.66,"OFL",0.083,0.1,0.105360515657826
"WPFMC","All FMPs",0.84,1.68,"OFL",0.084,0.1,0.105360515657826
"WPFMC","All FMPs",0.85,1.7,"OFL",0.085,0.1,0.105360515657826
"WPFMC","All FMPs",0.86,1.72,"OFL",0.086,0.1,0.105360515657826
"WPFMC","All FMPs",0.87,1.74,"OFL",0.087,0.1,0.105360515657826
"WPFMC","All FMPs",0.88,1.76,"OFL",0.088,0.1,0.105360515657826
"WPFMC","All FMPs",0.89,1.78,"OFL",0.089,0.1,0.105360515657826
"WPFMC","All FMPs",0.9,1.8,"OFL",0.09,0.1,0.105360515657826
"WPFMC","All FMPs",0.91,1.82,"OFL",0.091,0.1,0.105360515657826
"WPFMC","All FMPs",0.92,1.84,"OFL",0.092,0.1,0.105360515657826
"WPFMC","All FMPs",0.93,1.86,"OFL",0.093,0.1,0.105360515657826
"WPFMC","All FMPs",0.94,1.88,"OFL",0.094,0.1,0.105360515657826
"WPFMC","All FMPs",0.95,1.9,"OFL",0.095,0.1,0.105360515657826
"WPFMC","All FMPs",0.96,1.92,"OFL",0.096,0.1,0.105360515657826
"WPFMC","All FMPs",0.97,1.94,"OFL",0.097,0.1,0.105360515657826
"WPFMC","All FMPs",0.98,1.96,"OFL",0.098,0.1,0.105360515657826
"WPFMC","All FMPs",0.99,1.98,"OFL",0.099,0.1,0.105360515657826
"WPFMC","All FMPs",1,2,"OFL",0.1,0.1,0.105360515657826
"WPFMC","All FMPs",0,0,"ABC",0,NA,NA
"WPFMC","All FMPs",0.01,0.02,"ABC",0.00075,0.075,0.0779615414697118
"WPFMC","All FMPs",0.02,0.04,"ABC",0.0015,0.075,0.0779615414697118
"WPFMC","All FMPs",0.03,0.06,"ABC",0.00225,0.075,0.0779615414697118
"WPFMC","All FMPs",0.04,0.08,"ABC",0.003,0.075,0.0779615414697118
"WPFMC","All FMPs",0.05,0.1,"ABC",0.00375,0.075,0.0779615414697118
"WPFMC","All FMPs",0.06,0.12,"ABC",0.0045,0.075,0.0779615414697118
"WPFMC","All FMPs",0.07,0.14,"ABC",0.00525,0.075,0.0779615414697118
"WPFMC","All FMPs",0.08,0.16,"ABC",0.006,0.075,0.0779615414697118
"WPFMC","All FMPs",0.09,0.18,"ABC",0.00675,0.075,0.0779615414697118
"WPFMC","All FMPs",0.1,0.2,"ABC",0.0075,0.075,0.0779615414697118
"WPFMC","All FMPs",0.11,0.22,"ABC",0.00825,0.075,0.0779615414697119
"WPFMC","All FMPs",0.12,0.24,"ABC",0.009,0.075,0.0779615414697118
"WPFMC","All FMPs",0.13,0.26,"ABC",0.00975,0.075,0.0779615414697118
"WPFMC","All FMPs",0.14,0.28,"ABC",0.0105,0.075,0.0779615414697118
"WPFMC","All FMPs",0.15,0.3,"ABC",0.01125,0.075,0.0779615414697118
"WPFMC","All FMPs",0.16,0.32,"ABC",0.012,0.075,0.0779615414697118
"WPFMC","All FMPs",0.17,0.34,"ABC",0.01275,0.075,0.0779615414697118
"WPFMC","All FMPs",0.18,0.36,"ABC",0.0135,0.075,0.0779615414697118
"WPFMC","All FMPs",0.19,0.38,"ABC",0.01425,0.075,0.0779615414697118
"WPFMC","All FMPs",0.2,0.4,"ABC",0.015,0.075,0.0779615414697118
"WPFMC","All FMPs",0.21,0.42,"ABC",0.01575,0.075,0.0779615414697118
"WPFMC","All FMPs",0.22,0.44,"ABC",0.0165,0.075,0.0779615414697119
"WPFMC","All FMPs",0.23,0.46,"ABC",0.01725,0.075,0.0779615414697119
"WPFMC","All FMPs",0.24,0.48,"ABC",0.018,0.075,0.0779615414697118
"WPFMC","All FMPs",0.25,0.5,"ABC",0.01875,0.075,0.0779615414697118
"WPFMC","All FMPs",0.26,0.52,"ABC",0.0195,0.075,0.0779615414697118
"WPFMC","All FMPs",0.27,0.54,"ABC",0.02025,0.075,0.0779615414697118
"WPFMC","All FMPs",0.28,0.56,"ABC",0.021,0.075,0.0779615414697118
"WPFMC","All FMPs",0.29,0.58,"ABC",0.02175,0.075,0.0779615414697118
"WPFMC","All FMPs",0.3,0.6,"ABC",0.0225,0.075,0.0779615414697118
"WPFMC","All FMPs",0.31,0.62,"ABC",0.02325,0.075,0.0779615414697118
"WPFMC","All FMPs",0.32,0.64,"ABC",0.024,0.075,0.0779615414697118
"WPFMC","All FMPs",0.33,0.66,"ABC",0.02475,0.075,0.0779615414697118
"WPFMC","All FMPs",0.34,0.68,"ABC",0.0255,0.075,0.0779615414697118
"WPFMC","All FMPs",0.35,0.7,"ABC",0.02625,0.075,0.0779615414697118
"WPFMC","All FMPs",0.36,0.72,"ABC",0.027,0.075,0.0779615414697118
"WPFMC","All FMPs",0.37,0.74,"ABC",0.02775,0.075,0.0779615414697118
"WPFMC","All FMPs",0.38,0.76,"ABC",0.0285,0.075,0.0779615414697118
"WPFMC","All FMPs",0.39,0.78,"ABC",0.02925,0.075,0.0779615414697118
"WPFMC","All FMPs",0.4,0.8,"ABC",0.03,0.075,0.0779615414697118
"WPFMC","All FMPs",0.41,0.82,"ABC",0.03075,0.075,0.0779615414697118
"WPFMC","All FMPs",0.42,0.84,"ABC",0.0315,0.075,0.0779615414697118
"WPFMC","All FMPs",0.43,0.86,"ABC",0.03225,0.075,0.0779615414697118
"WPFMC","All FMPs",0.44,0.88,"ABC",0.033,0.075,0.0779615414697119
"WPFMC","All FMPs",0.45,0.9,"ABC",0.03375,0.075,0.0779615414697119
"WPFMC","All FMPs",0.46,0.92,"ABC",0.0345,0.075,0.0779615414697119
"WPFMC","All FMPs",0.47,0.94,"ABC",0.03525,0.075,0.0779615414697118
"WPFMC","All FMPs",0.48,0.96,"ABC",0.036,0.075,0.0779615414697118
"WPFMC","All FMPs",0.49,0.98,"ABC",0.03675,0.075,0.0779615414697118
"WPFMC","All FMPs",0.5,1,"ABC",0.0375,0.075,0.0779615414697118
"WPFMC","All FMPs",0.51,1.02,"ABC",0.03825,0.075,0.0779615414697118
"WPFMC","All FMPs",0.52,1.04,"ABC",0.039,0.075,0.0779615414697118
"WPFMC","All FMPs",0.53,1.06,"ABC",0.03975,0.075,0.0779615414697118
"WPFMC","All FMPs",0.54,1.08,"ABC",0.0405,0.075,0.0779615414697118
"WPFMC","All FMPs",0.55,1.1,"ABC",0.04125,0.075,0.0779615414697118
"WPFMC","All FMPs",0.56,1.12,"ABC",0.042,0.075,0.0779615414697118
"WPFMC","All FMPs",0.57,1.14,"ABC",0.04275,0.075,0.0779615414697118
"WPFMC","All FMPs",0.58,1.16,"ABC",0.0435,0.075,0.0779615414697118
"WPFMC","All FMPs",0.59,1.18,"ABC",0.04425,0.075,0.0779615414697118
"WPFMC","All FMPs",0.6,1.2,"ABC",0.045,0.075,0.0779615414697118
"WPFMC","All FMPs",0.61,1.22,"ABC",0.04575,0.075,0.0779615414697118
"WPFMC","All FMPs",0.62,1.24,"ABC",0.0465,0.075,0.0779615414697118
"WPFMC","All FMPs",0.63,1.26,"ABC",0.04725,0.075,0.0779615414697118
"WPFMC","All FMPs",0.64,1.28,"ABC",0.048,0.075,0.0779615414697118
"WPFMC","All FMPs",0.65,1.3,"ABC",0.04875,0.075,0.0779615414697118
"WPFMC","All FMPs",0.66,1.32,"ABC",0.0495,0.075,0.0779615414697118
"WPFMC","All FMPs",0.67,1.34,"ABC",0.05025,0.075,0.0779615414697118
"WPFMC","All FMPs",0.68,1.36,"ABC",0.051,0.075,0.0779615414697118
"WPFMC","All FMPs",0.69,1.38,"ABC",0.05175,0.075,0.0779615414697118
"WPFMC","All FMPs",0.7,1.4,"ABC",0.0525,0.075,0.0779615414697118
"WPFMC","All FMPs",0.71,1.42,"ABC",0.05325,0.075,0.0779615414697118
"WPFMC","All FMPs",0.72,1.44,"ABC",0.054,0.075,0.0779615414697118
"WPFMC","All FMPs",0.73,1.46,"ABC",0.05475,0.075,0.0779615414697118
"WPFMC","All FMPs",0.74,1.48,"ABC",0.0555,0.075,0.0779615414697118
"WPFMC","All FMPs",0.75,1.5,"ABC",0.05625,0.075,0.0779615414697118
"WPFMC","All FMPs",0.76,1.52,"ABC",0.057,0.075,0.0779615414697118
"WPFMC","All FMPs",0.77,1.54,"ABC",0.05775,0.075,0.0779615414697118
"WPFMC","All FMPs",0.78,1.56,"ABC",0.0585,0.075,0.0779615414697118
"WPFMC","All FMPs",0.79,1.58,"ABC",0.05925,0.075,0.0779615414697118
"WPFMC","All FMPs",0.8,1.6,"ABC",0.06,0.075,0.0779615414697118
"WPFMC","All FMPs",0.81,1.62,"ABC",0.06075,0.075,0.0779615414697118
"WPFMC","All FMPs",0.82,1.64,"ABC",0.0615,0.075,0.0779615414697118
"WPFMC","All FMPs",0.83,1.66,"ABC",0.06225,0.075,0.0779615414697118
"WPFMC","All FMPs",0.84,1.68,"ABC",0.063,0.075,0.0779615414697118
"WPFMC","All FMPs",0.85,1.7,"ABC",0.06375,0.075,0.0779615414697118
"WPFMC","All FMPs",0.86,1.72,"ABC",0.0645,0.075,0.0779615414697118
"WPFMC","All FMPs",0.87,1.74,"ABC",0.06525,0.075,0.0779615414697118
"WPFMC","All FMPs",0.88,1.76,"ABC",0.066,0.075,0.0779615414697119
"WPFMC","All FMPs",0.89,1.78,"ABC",0.06675,0.075,0.0779615414697119
"WPFMC","All FMPs",0.9,1.8,"ABC",0.0675,0.075,0.0779615414697119
"WPFMC","All FMPs",0.91,1.82,"ABC",0.06825,0.075,0.0779615414697119
"WPFMC","All FMPs",0.92,1.84,"ABC",0.069,0.075,0.0779615414697119
"WPFMC","All FMPs",0.93,1.86,"ABC",0.06975,0.075,0.0779615414697118
"WPFMC","All FMPs",0.94,1.88,"ABC",0.0705,0.075,0.0779615414697118
"WPFMC","All FMPs",0.95,1.9,"ABC",0.07125,0.075,0.0779615414697118
"WPFMC","All FMPs",0.96,1.92,"ABC",0.072,0.075,0.0779615414697118
"WPFMC","All FMPs",0.97,1.94,"ABC",0.07275,0.075,0.0779615414697118
"WPFMC","All FMPs",0.98,1.96,"ABC",0.0735,0.075,0.0779615414697118
"WPFMC","All FMPs",0.99,1.98,"ABC",0.07425,0.075,0.0779615414697118
"WPFMC","All FMPs",1,2,"ABC",0.075,0.075,0.0779615414697118
"WPFMC","All FMPs",0,0,"ACL",0,NA,NA
"WPFMC","All FMPs",0.01,0.02,"ACL",0.000675,0.0675,0.0698861274641664
"WPFMC","All FMPs",0.02,0.04,"ACL",0.00135,0.0675,0.0698861274641664
"WPFMC","All FMPs",0.03,0.06,"ACL",0.002025,0.0675,0.0698861274641664
"WPFMC","All FMPs",0.04,0.08,"ACL",0.0027,0.0675,0.0698861274641664
"WPFMC","All FMPs",0.05,0.1,"ACL",0.003375,0.0675,0.0698861274641664
"WPFMC","All FMPs",0.06,0.12,"ACL",0.00405,0.0675,0.0698861274641664
