"stock_id","type","biomass_limit","ramped_shape","env_linked","p_star","abc_buffer","acl_buffer","act_buffer","n"
"CFMC-Caribbean Queen Conch FMP-Queen conch-Constant catch","Constant catch",0,NA,0,NA,0.9024805059,0,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Angelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Angelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Angelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Boxfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Boxfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Boxfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Goatfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Goatfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Goatfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Groupers-Catch prohibited","Catch prohibited",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Groupers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Groupers-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Groupers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Groupers-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Groupers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Grunts-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Grunts-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Grunts-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Jacks-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Jacks-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Jacks-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Parrotfish-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Parrotfish-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Parrotfish-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Parrotfish-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Parrotfish-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Parrotfish-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Scups & Porgies-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Scups & Porgies-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Scups & Porgies-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Snapper Unit 1-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Snapper Unit 2-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Snapper Unit 3-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Snapper Unit 4-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Snappers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Snappers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Squirrelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Squirrelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Squirrelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Surgeonfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Surgeonfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Surgeonfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Triggerfish & Filefish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Triggerfish & Filefish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Triggerfish & Filefish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Wrasses-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Wrasses-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Wrasses-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Spiny Lobster FMP-Puerto Rico-spiny lobster-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Spiny Lobster FMP-St. Croix-spiny lobster-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Spiny Lobster FMP-St. Thomas and St. John-spiny lobster-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"GMFMC/SAFMC-Coastal Migratory Pelagic FMP-Gulf of Mexico-King mackerel-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC/SAFMC-Coastal Migratory Pelagic FMP-South Atlantic coast-King mackerel-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC/SAFMC-Coastal Migratory Pelagic FMP-Gulf of Mexico-Spanish mackerel-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC/SAFMC-Coastal Migratory Pelagic FMP-South Atlantic coast-Spanish mackerel-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC/SAFMC-Coastal Migratory Pelagic FMP-Gulf of Mexico-Cobia-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Goliath grouper-Catch prohibited","Catch prohibited",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Mutton snapper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Red snapper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Gray snapper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Yellowtail snapper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Vermilion snapper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Shallow water grouper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Gag-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Greater amberjack-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Gray triggerfish-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Hogfish-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Lane Snapper-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Mid-water snapper-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Cubera snapper-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Deep water grouper-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Shallow water grouper-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Tilefishes-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Gulf of Mexico Reef Fish FMP-Jacks Complex-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Red Drum FMP-Red drum-Catch prohibited","Catch prohibited",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Shrimp FMP-Royal red shrimp-Constant catch","Constant catch",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Shrimp FMP-Pink shrimp-None","None",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Shrimp FMP-White shrimp-None","None",0,NA,0,NA,NA,NA,NA,1
"GMFMC-Shrimp FMP-Brown shrimp-None","None",0,NA,0,NA,NA,NA,NA,1
"GMFMC/SAFMC-Spiny Lobster FMP-Spiny lobster-Catch-based","Catch-based",0,NA,0,NA,0.07341772152,0,0.1,1
"MAFMC-Bluefish FMP-Bluefish-Threshold F","Threshold F",1,"curved",0,NA,0.3772189,0,0,1
"MAFMC-Golden and Blueline Tilefish FMP-Golden tilefish-Threshold F","Threshold F",1,"curved",0,NA,0.2859014,0,0,1
"MAFMC-Golden and Blueline Tilefish FMP-Blueline tilefish-Catch-based","Catch-based",0,NA,0,NA,NA,0,0,1
"MAFMC-Mackerel, Squid, Butterfish FMP-Atlantic mackerel-Threshold F","Threshold F",1,"curved",0,NA,NA,0,NA,1
"MAFMC-Mackerel, Squid, Butterfish FMP-Chub mackerel-Catch-based","Catch-based",0,NA,0,NA,0.2399207,0,0.04,1
"MAFMC-Mackerel, Squid, Butterfish FMP-Illex squid-Catch-based","Catch-based",0,NA,0,NA,NA,0.0461,0,1
"MAFMC-Mackerel, Squid, Butterfish FMP-Longfin squid-Catch-based","Catch-based",0,NA,0,NA,NA,0.02,0,1
"MAFMC-Mackerel, Squid, Butterfish FMP-Butterfish-Threshold F","Threshold F",1,"curved",0,NA,NA,0,0.0500168,1
"MAFMC-Mid-Atlantic summer flounder, scup, black sea bass FMP-Summer flounder-Threshold F","Threshold F",1,"curved",0,NA,0.1910149,0.4594487,0,1
"MAFMC-Mid-Atlantic summer flounder, scup, black sea bass FMP-Scup-Threshold F","Threshold F",1,"curved",0,NA,0.01382064,0.2198692,0,1
"MAFMC-Mid-Atlantic summer flounder, scup, black sea bass FMP-Sea bass-Threshold F","Threshold F",1,"curved",0,NA,0.2227953,0.536828,0,1
"NEFMC-Atlantic Salmon FMP-Atlantic salmon-Catch prohibited","Catch prohibited",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Gulf of Maine-Atlantic cod-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Georges Bank-Atlantic cod-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Acadian redfish-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Atlantic wolffish-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Witch flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Gulf of Maine-Haddock-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Georges Bank-Haddock-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Gulf of Maine-Winter flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Georges Bank-Winter flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Southern New England/Mid-Atlantic-Winter flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-White hake-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Northern-Windowpane flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Southern-Windowpane flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Atlantic pollock-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Georges Bank-Yellowtail flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Southern New England/Mid-AtlanticYellowtail flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Cape Cod/Gulf of Maine-Yellowtail flounder-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Atlantic halibut-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-American plaice-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Northeast Multispecies FMP-Ocean pout-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Red Crab FMP-Red crab-Constant catch","Constant catch",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Sea Scallop FMP-Sea scallop-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Skate Complex FMP-Skate complex-Catch-based","Catch-based",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Small-Mesh Multispecies FMP-Gulf of Maine-Red hake-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Small-Mesh Multispecies FMP-Southern Georges Bank-Red hake-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Small-Mesh Multispecies FMP-Gulf of Maine-Silver hake-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Small-Mesh Multispecies FMP-Southern Georges Bank-Silver hake-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Small-Mesh Multispecies FMP-Offshore hake-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC-Atlantic Herring FMP-Atlantic herring-Threshold F","Threshold F",1,"linear",0,NA,NA,NA,NA,1
"NEFMC/MAFMC-Monkfish FMP-Gulf of Maine/Northern Georges Bank-Monkfish-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC/MAFMC-Monkfish FMP-Southern Georges Bank/Mid-Atlantic-Monkfish-Constant F","Constant F",0,NA,0,NA,NA,NA,NA,1
"NEFMC/MAFMC-Spiny Dogfish FMP-Spiny dogfish-Threshold F","Threshold F",1,"curved",0,NA,NA,NA,NA,1
"MAFMC-Surfclams and Ocean Quahogs FMP-Surfclam-Threshold F","Threshold F",1,"curved",0,NA,NA,NA,NA,1
"MAFMC-Surfclams and Ocean Quahogs FMP-Ocean quahog-Threshold F","Threshold F",1,"curved",0,NA,NA,NA,NA,1
"NPFMC-Alaska Salmon FMP-Mixed sp. salmon-Constant escapement","Constant escapement",0,NA,0,NA,NA,0,NA,1
"NPFMC-Alaska Salmon FMP-Eastern North Pacific Far North Migrating-Chinook salmon-Exempt","Exempt",0,NA,0,NA,NA,0,NA,1
"NPFMC-Alaska Salmon FMP-Coho salmon-Constant escapement","Constant escapement",0,NA,0,NA,NA,0,NA,1
"NPFMC-Alaska Scallop FMP-Mixed sp. salmon-Constant escapement","Constant escapement",0,NA,0,NA,NA,NA,NA,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-EBS snow crab-Threshold F","Threshold F",1,"linear",0,0.25,0.25,0,0.71,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Bristol Bay red king crab-Threshold F","Threshold F",1,"linear",0,NA,0.1,0,NA,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-EBS Tanner crab-Threshold F","Threshold F",1,"linear",0,NA,0.2,0,0.94,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Aleutian Island golden king crab-Threshold F","Threshold F",1,"linear",0,NA,0.25,0,0.17,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-St. Matthew blue king crab-Threshold F","Threshold F",1,"linear",0,NA,0.2,0,1,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Pribilof Islands blue king crab-Threshold F","Threshold F",1,"linear",0,0.25,NA,0,NA,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Pribilof Islands red king crab-Threshold F","Threshold F",1,"linear",0,0.25,NA,0,NA,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Norton Sound red king crab-Threshold F","Threshold F",1,"linear",0,0.25,NA,0,NA,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Pribilof Islands golden king crab-Catch-based","Catch-based",0,NA,0,NA,0.25,0,NA,1
"NPFMC-Bering Sea/Aleutian Islands King and Tanner Crabs FMP-Western Aleutian Islands red king crab-Catch-based","Catch-based",0,NA,0,NA,0.25,0,1,1
"NPFMC-GOA groundfish FMP-Arrowtooth flounder-Threshold F","Threshold F",1,"linear",0,NA,0.16,0,0.22,1
"NPFMC-GOA groundfish FMP-Dusky rockfish-Threshold F","Threshold F",1,"linear",0,NA,0.18,0,0,1
"NPFMC-GOA groundfish FMP-Flathead sole-Threshold F","Threshold F",1,"linear",0,NA,0.18,0,0,1
"NPFMC-GOA groundfish FMP-Northern rockfish-Threshold F","Threshold F",1,"linear",0,NA,0.16,0,0,1
"NPFMC-GOA groundfish FMP-Pacific cod-Threshold F","Threshold F",1,"linear",0,NA,0.18,0,0.56,1
"NPFMC-GOA groundfish FMP-Pacific ocean perch-Threshold F","Threshold F",1,"linear",0,NA,0.16,0,0,1
"NPFMC-GOA groundfish FMP-Pollock-Threshold F","Threshold F",1,"linear",0,NA,0.14,0,NA,1
"NPFMC-GOA groundfish FMP-Rex sole-Threshold F","Threshold F",1,"linear",0,NA,0.18,0,NA,1
"NPFMC-GOA groundfish FMP-Rougheye & blackspotted rockfish-Threshold F","Threshold F",1,"linear",0,NA,0.17,0,0,1
"NPFMC-GOA groundfish FMP-Sablefish-Threshold F","Threshold F",1,"linear",0,NA,0.63,0,0.17,1
"NPFMC-GOA groundfish FMP-Northern rock sole-Threshold F","Threshold F",1,"linear",0,NA,0.15,0,NA,1
"NPFMC-GOA groundfish FMP-Southern rock sole-Threshold F","Threshold F",1,"linear",0,NA,0.15,0,NA,1
"NPFMC-GOA groundfish FMP-Demersal shelf rockfish-Constant F","Constant F",0,NA,0,NA,0.37,0,0,1
"NPFMC-GOA groundfish FMP-Other rockfish-slope sub-group-Constant F","Constant F",0,NA,0,NA,0.18,0,0.59,2
"NPFMC-GOA groundfish FMP-Other rockfish-slope sub-group-Constant F","Constant F",0,NA,0,NA,0.25,0,0.59,2
"NPFMC-GOA groundfish FMP-Shallow water flatfish-Constant F","Constant F",0,NA,0,NA,0.18,0,0.22,1
"NPFMC-GOA groundfish FMP-Sharks-Spiny dogfish-Constant F","Constant F",0,NA,0,NA,0.25,0,0,1
"NPFMC-GOA groundfish FMP-Shortraker rockfish-Constant F","Constant F",0,NA,0,NA,0.25,0,0,1
"NPFMC-GOA groundfish FMP-Skates-Constant F","Constant F",0,NA,0,NA,0.25,0,0,1
"NPFMC-GOA groundfish FMP-Thornyhead rockfish-Constant F","Constant F",0,NA,0,NA,0.25,0,0,1
"NPFMC-GOA groundfish FMP-Atka mackerel-Catch-based","Catch-based",0,NA,0,NA,0.24,0,0.57,1
"NPFMC-GOA groundfish FMP-Deepwater flatfish-Catch-based","Catch-based",0,NA,0,NA,0.25,0,0,2
"NPFMC-GOA groundfish FMP-Deepwater flatfish-Catch-based","Catch-based",0,NA,0,NA,0.15,0,0,2
"NPFMC-GOA groundfish FMP-Demersal shelf rockfish-Catch-based","Catch-based",0,NA,0,NA,0.23,0,0,1
"NPFMC-GOA groundfish FMP-Octopus-Catch-based","Catch-based",0,NA,0,NA,NA,0,NA,1
"NPFMC-GOA groundfish FMP-Other rockfish-demersal sub-group-Catch-based","Catch-based",0,NA,0,NA,0.25,0,0.59,1
"NPFMC-GOA groundfish FMP-Sharks-Catch-based","Catch-based",0,NA,0,NA,0.25,0,0,1
"NPFMC-GOA groundfish FMP-Deepwater flatfish-Threshold F","Threshold F",1,"linear",0,NA,0.15,0,0,1
"NPFMC-Groundfish of the Bering Sea and Aleutian Islands FMP-Alaska plaice-Threshold F","Threshold F",1,"linear",0,NA,0.16,0,0,1
"NPFMC-Groundfish of the Bering Sea and Aleutian Islands FMP-Aleutian Islands Pacific cod-Constant F","Constant F",0,NA,0,NA,0.25,0,0.33,1
