STOCK_OR_COMPLEX,AREA,CATEGORY,PROBABILITY,ABC_BUFFER_FRACTION,ref,url
Quillback,CA,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Yelloweye Rockfish,CW,1 (Year Based),0.4,0.16,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Arrowtooth Flounder,CW,2 (Year Based),0.4,0.294,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Big Skate,CW,2 (Year Based),0.45,0.143,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Black Rockfish,WA,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Black Rockfish,CA,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bocaccio,S of 4010,1 (Year Based),0.45,0.083,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,3427 - 42,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,S of 3427,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,WA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp Greenling,WA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,OR,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp Greenling,OR,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
California Scorpionfish,CW,CA Scorpionfish (Year Based),0.45,0.096,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Canary Rockfish,CW,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Chilipepper,S of 4010,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cowcod,4010 - 3427,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cowcod,S of 3427,2 (Year Based),0.4,0.267,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Darkblotched Rockfish,CW,1 (Year Based),0.45,0.083,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Dover Sole,CW,1 (Year Based),0.45,0.065,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
English Sole,CW,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Lingcod,N of 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Lingcod,S of 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Longnose Skate,CW,2 (Year Based),0.45,0.143,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Longspine Thornyhead,S of 3427,2 (Year Based),0.4,0.346,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Longspine Thornyhead,N of 3427,2 (Year Based),0.4,0.346,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pacific Ocean Perch,N of 4010,2 (Year Based),0.45,0.159,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Petrale Sole,CW,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Sablefish,S of 36,1 (Year Based),0.35,0.187,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Sablefish,N of 36,1 (Year Based),0.35,0.187,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Shortspine Thornyhead,N of 3427,2 (Year Based),0.4,0.346,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Shortspine Thornyhead,S of 3427,2 (Year Based),0.4,0.346,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Splitnose,S of 4010,1 (Year Based),0.45,0.117,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Widow Rockfish,CW,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Yellowtail Rockfish,N of 4010,1 (Year Based),0.45,0.083,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pacific Cod,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Starry Flounder,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Spiny Dogfish,CW,2 (Year Based),0.4,0.238,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Black Rockfish,OR,2 (Year Based),0.45,0.174,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blue,OR,2 (Year Based),0.45,0.159,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Black and Yellow,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blue,42 - 4010,2 (Year Based),0.45,0.159,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blue,WA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Brown,N of 4010,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Calico,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
China,4010 - 4616,2 (Year Based),0.45,0.174,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
China,WA,2 (Year Based),0.45,0.174,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Copper,WA,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Copper,OR,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Copper,42 - 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Gopher,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Grass,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Olive,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Quillback,WA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Quillback,OR,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Treefish,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blue,4010 - 3427,2 (Year Based),0.45,0.159,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blue,S of 3427,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Brown,S of 4010,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Calico,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
China,S of 4010,2 (Year Based),0.45,0.174,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Copper,4010 - 3427,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Copper,S of 3427,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Gopher,S of 4010,2 (Year Based),0.45,0.143,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Grass,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Olive,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Treefish,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp Greenling,CA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Leopard Shark,CW,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Butter Sole,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Curlfin Sole,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Flathead Sole,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pacific Sanddab,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rex Sole,CW,2 (Year Based),0.4,0.346,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rock Sole,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Sand Sole,CW,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pacific Whiting,CW,,,,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bocaccio,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bronzespotted,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Chameleon,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Chilipepper,N of 4010,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cowcod,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Flag,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Freckled,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenblotched,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenspotted,42 - 4010,2 (Year Based),0.45,0.205,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenspotted,WA - OR,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenstriped,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Halfbanded,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Harlequin,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Honeycomb,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Mexican,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pink,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pinkrose,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Puget Sound,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pygmy,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Redstripe,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rosethorn,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rosy,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Silvergray,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Speckled,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Squarespot,42 - 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Starry,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Stripetail,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Swordspine,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Tiger,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Vermilion,WA,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Vermilion,42 - 4010,1 (Year Based),0.45,0.065,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Vermilion,OR,1 (Year Based),0.45,0.065,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bronzespotted,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Chameleon,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Flag,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Freckled,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenblotched,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenspotted,4010 - 3427,2 (Year Based),0.45,0.205,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenspotted,S of 3427,2 (Year Based),0.45,0.205,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Greenstriped,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Halfbanded,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Harlequin,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Honeycomb,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Mexican,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pink,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pinkrose,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pygmy,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Redstripe,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rosethorn,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rosy,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Silvergray,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Speckled,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Squarespot,S of 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Starry,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Stripetail,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Swordspine,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Tiger,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Vermilion,S of 3427,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Vermilion,4010 - 3427,1 (Year Based),0.45,0.065,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Yellowtail Rockfish,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Aurora,N of 4010,1 (Year Based),0.45,0.1,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bank,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blackgill Rockfish,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Redbanded,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rougheye/Blackspotted,N of 4010,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Sharpchin,N of 4010,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Shortraker,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Splitnose,N of 4010,1 (Year Based),0.45,0.117,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Yellowmouth,N of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Aurora,S of 4010,1 (Year Based),0.45,0.1,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bank,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Blackgill Rockfish,S of 4010,2 (Year Based),0.45,0.159,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Pacific Ocean Perch,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Redbanded,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Rougheye/Blackspotted,S of 4010,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Sharpchin,S of 4010,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Shortraker,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Yellowmouth,S of 4010,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/