"YEAR","STOCK_OR_COMPLEX","AREA","CATEGORY","PROBABILITY","ABC_BUFFER_FRACTION","OFL","ABC","ACL","STOCK_STATUS","NOTES","ASSESS_YEAR","ASSESS_TYPE","ASSESS_AUTHOR","SPR_HR","MOST_RECENT_STOCK_ASSESSMENT_LINK","SSC_REPORT_LINK","REBUILDING_ANALYSIS_LINK","UPDATED_HARVEST_SPECIFICATION_PROJECTIONS_LINK"
2023,"Quillback","CA","2 (Year Based)",.45,.126,,,,"Overfished","OFL projected using a 50% SPR harvest rate from the 2021 assessment of quillback rockfish in CA.&nbsp; Spex TBD once revised values are available.",2021,"Data-moderate","Langseth",,"","","",""
2023,"Yelloweye Rockfish","CW","1 (Year Based)",.4,.16,123,103,66,"Rebuilding","OFL projected using a 50% SPR harvest rate in the 2017 stock assessment.&nbsp; ACL projected using a 65% SPR harvest rate in the 2017 stock assessment.&nbsp; Sector-specific ACTs projected using a 70% SPR harvest rate in the 2017 stock assessment.",2017,"Full","Gertseva",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/12/stock-assessment-of-the-yelloweye-rockfish-sebastes-ruberrimus-in-state-and-federal-waters-off-california-oregon-and-washington.pdf/"",""2017 Yelloweye Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/09/e8a_sup_ssc_rpt1_stock_assessments_sept2017bb.pdf/#page=3"",""SSC Report on the 2017 Yelloweye Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/01/rebuilding-analysis-for-yelloweye-rockfish-sebastes-ruberrimus-based-on-the-2017-stock-assessment.pdf/"",""2017 Yelloweye Rockfish Rebuilding Analysis"")",""
2023,"Arrowtooth Flounder","CW","2 (Year Based)",.4,.294,26391,18632,18632,"Non-Overfished","OFL based on the 2021 catch-only update of the 2017 update assessment.",2017,"Update","Sampson",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/12/2017-assessment-update-for-the-us-west-coast-stock-of-arrowtooth-flounder.pdf/"",""2017 Arrowtooth Flounder Update Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/06/f4a_sup_ssc_rpt_assessents_final_jun2017bb-1.pdf/"",""SSC Report on the 2017 Arrowtooth Flounder Update Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2021/08/c-6-attachment-9-catch-only-projection-for-arrowtooth-flounder-atheresthes-stomias-in-2021.pdf/"",""2021 arrowtooth flounder catch-only update"")"
2023,"Big Skate","CW","2 (Year Based)",.45,.143,1541,1320,1320,"Non-Overfished","OFL projected using a 50% SPR harvest rate in the 2019 big skate assessment.",2019,"Full","Taylor",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/status-of-big-skate-beringraja-binoculata-off-the-u-s-pacifc-coast-in-2019-october-2019.pdf/"",""2019 Big Skate Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Big Skate Assessment"")","",""
2023,"Black Rockfish","WA","1 (Year Based)",.45,.091,319,290,290,"Non-Overfished","OFL projected using a 50% SPR from the 2019 catch-only projection update.",2015,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/03/assessments-of-california-oregon-and-washington-stocks-of-black-rockfish-sebastes-melanops-in-2015-published-03-31-2016.pdf/"",""2015 Black Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2007/09/g-groundfish-management-september-2007.pdf/#page=1515"",""SSC Report on the 2015 Black Rockfish Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-attachment-15.pdf/"",""2019 Catch-Only Projection Update for Black Rockfish"")"
2023,"Black Rockfish","CA","1 (Year Based)",.45,.091,368,334,334,"Non-Overfished","OFL projected using a 50% SPR from the 2019 catch-only projection update.",2015,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/03/assessments-of-california-oregon-and-washington-stocks-of-black-rockfish-sebastes-melanops-in-2015-published-03-31-2016.pdf/"",""2015 Black Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2007/09/g-groundfish-management-september-2007.pdf/#page=1515"",""SSC Report on the 2015 Black Rockfish Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-attachment-15.pdf/"",""2019 Catch-Only Projection Update for Black Rockfish"")"
2023,"Bocaccio","S of 4010","1 (Year Based)",.45,.083,2009,1842,1842,"Non-Overfished","OFL projected using a 50% SPR from the 2019 updated harvest specification projections based on new sigmas with a 7.4% reduction to subtract the portion of the assessed stock north of 40&deg;10&rsquo; N. lat.&nbsp; ACL = ABC (P* = 0.45).<br />
&nbsp;",2017,"Update","He",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/02/stock-assessment-update-status-of-bocaccio-sebastes-paucispinis-in-the-conception-monterey-and-eureka-inpfc-areas-for-2017.pdf/"",""2017 Bocaccio Update Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/06/f4a_sup_ssc_rpt_assessents_final_jun2017bb-1.pdf/"",""SSC Recommendations on the 2017 Bocaccio Update Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-8-supplemental-attachment-2.pdf/"",""2019 Updated Harvest Specification Projections for Bocaccio (Table 5) Based on New Sigmas"")"
2023,"Cabezon","CA","1 (Year Based)",.45,.074,197,182,182,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.<br />
&nbsp;",2019,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"    Cabezon","3427 - 42","1 (Year Based)",.45,.074,175,162.05,,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.",2019,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"    Cabezon","S of 3427","1 (Year Based)",.45,.074,21.7,20.0942,,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.",2019,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"Cabezon/Kelp Greenling","WA","",,,25,20,20,"Non-Overfished","Sum of harvest specification contributions of component stocks in the complex.",,"","",,"","","",""
2023,"    Cabezon","WA","3 (Year Based)",.45,.222,18.3,14.2374,14.2374,"Non-Overfished","OFL based on a DB-SRA assessment in the 2019 assessment.<br />
&nbsp;",2019,"SSS","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"    Kelp Greenling","WA","3 (Year Based)",.45,.222,7.1,5.5238,5.5238,"Unknown","OFL based on a 2015 DB-SRA estimate using a low vulnerability prior.<br />
&nbsp;",2015,"DBSRA","Dick",,"=HYPERLINK(""https://www.pcouncil.org/documents/2015/10/agenda-item-i-4-attachment-4-harvest-projections-for-select-west-coast-groundfish-species-used-to-inform-harvest-specifications-for-2017-and-beyond.pdf/#page=12"",""2015 DB-SRA estimate for WA kelp greenling"")","=HYPERLINK(""https://www.pcouncil.org/documents/2015/11/agenda-item-i-4-a-supplemental-ssc-report.pdf/"",""SSC report on the 2015 WA kelp greenling DB-SRA estimate"")","",""
2023,"Cabezon/Kelp Greenling","OR","",,,202,185,185,"Non-Overfished","Sum of harvest specification contributions of component stocks in the complex.",,"","",,"","","",""
2023,"    Cabezon","OR","1 (Year Based)",.45,.074,54.5,50.467,50.467,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.<br />
&nbsp;",2019,"Full","Berger",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"    Kelp Greenling","OR","1 (Year Based)",.45,.091,147.569,134.1402,134.1402,"Non-Overfished","OFL projected in the 2021 catch-only update of the 2015 assessment.",2015,"Full","Berger",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/04/status-of-kelp-greenling-hexagrammos-decagrammus-along-the-oregon-coast-in-2015-november-17-2015.pdf/"",""2015 Oregon Kelp Greenling Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2015/09/agenda-item-h-3-a-supplemental-ssc-report.pdf/"",""Sept. 2015 SSC Report on the Oregon Kelp Greenling Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2021/08/c-8-attachment-2-harvest-specification-projections-for-select-west-coast-groundfish-stocks-in-2023-and-beyond-informed-by-the-new-sigmas-implemented-in-2020.pdf/"",""2021 Updated Harvest Specification Projections for Oregon Kelp Greenling (Table 5) Based on New Sigmas."")"
2023,"California Scorpionfish","CW","CA Scorpionfish (Year Based)",.45,.096,290,262,262,"Non-Overfished","OFL from the 2019 catch-only update of the 2017 assessment.",2017,"Full","Monk",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/01/status-of-california-scorpionfish-scorpaena-guttata-off-southern-california-in-2017.pdf/"",""2017 CA Scorpionfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/09/e8a_sup_ssc_rpt1_stock_assessments_sept2017bb.pdf/"",""SSC Report on the 2017 CA Scorpionfish Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-8-supplemental-attachment-2.pdf/"",""2019 Updated Harvest Specification Projections for California Scorpionfish (Table 6) Based on New Sigmas"")"
2023,"Canary Rockfish","CW","1 (Year Based)",.45,.091,1413,1284,1284,"Non-Overfished","OFL from the 2019 catch-only update of the 2015 assessment.",2015,"Full","Thorson",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/05/the-status-of-canary-rockfish-sebastes-pinniger-in-the-california-current-in-2015-march-2016.pdf/"",""2015 Canary Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2015/06/agenda-item-d-8-a-supplemental-ssc-report.pdf/"",""SSC Report on the 2015 Canary Rockfish Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/agenda-item-h-6-attachment-2-additional-projections-of-harvest-specifications-for-west-coast-groundfish-stocks-in-2021-and-beyond.pdf/"",""2019 Updated Harvest Specification Projections for Canary Rockfish (Table 2)"")"
2023,"Chilipepper","S of 4010","1 (Year Based)",.45,.091,2401,2183,2183,"Non-Overfished","OFL from the 2019 catch-only update of the 2015 assessment.&nbsp; OFLs are apportioned to the north (7%) and south (93%) of 40&deg;10&rsquo; N lat. based on average historical landings.<br />
&nbsp;",2015,"Update","Field",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/06/status-of-the-chilipepper-rockfish-sebastes-goodei-in-the-california-current-for-2015.pdf/"",""2015 Update Assessment of Chilipepper Rockfish"")","=HYPERLINK(""http://www.pcouncil.org/documents/2015/06/agenda-item-d-8-a-supplemental-ssc-report.pdf/"",""SSC Report on the 2015 Chilipepper Rockfish Update Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-8-supplemental-attachment-2.pdf/"",""2019 Updated Harvest Specification Projections for Chilipepper Rockfish (Table 7)"")"
2023,"Cowcod","S of 4010","",,,113,80,80,"Non-Overfished","Harvest specifications are the sum of assessed area projections (Conception area) and DBSRA estimates (Monterey area).&nbsp; Sector allocations are based on a&nbsp;precautionary ACT of 50 mt due to assessment uncertainty.<br />
&nbsp;",2019,"","Dick",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/status-of-cowcod-sebastes-levis-in-2019-october-24-2019.pdf/"",""2019 Cowcod Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cowcod Assessment"")","",""
2023,"    Cowcod","4010 - 3427","3 (Year Based)",.4,.398,18.9,11.3778,,"Unknown","OFL is based on the 2019 DB-SRA estimate in Appendix B of the 2019 cowcod assessment.<br />
&nbsp;",2019,"DBSRA","Dick",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/status-of-cowcod-sebastes-levis-in-2019-october-24-2019.pdf/"",""2019 Cowcod Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cowcod Assessment"")","",""
2023,"    Cowcod","S of 3427","2 (Year Based)",.4,.267,93.7818,68.7421,,"Non-Overfished","OFL is based on a 50% SPR harvest rate projected in the 2019 assessment. &nbsp;ABC based on time varying cat. 2 sigma, P* = 0.4.<br />
&nbsp;",2019,"Full","Dick",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/status-of-cowcod-sebastes-levis-in-2019-october-24-2019.pdf/"",""2019 Cowcod Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cowcod Assessment"")","",""
2023,"Darkblotched Rockfish","CW","1 (Year Based)",.45,.083,856,785,785,"Non-Overfished","OFL projected using a 50% SPR in the 2021 catch-only projection update.<br />
&nbsp;",2017,"Update","Wallace",,"=HYPERLINK(""https://www.pcouncil.org/documents/2018/01/status-of-the-darkblotched-rockfish-resource-off-the-continental-u-s-pacific-coast-in-2017-update-of-2015-assessment-model.pdf/"",""2017 Update Assessment of Darkblotched Rockfish"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/06/f4a_sup_ssc_rpt_assessents_final_jun2017bb-1.pdf/"",""SSC Report on the 2017 Darkblotched Rockfish Update Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2021/08/c-6-attachment-12-catch-only-projection-for-darkblotched-rockfish-sebastes-crameri-in-2021.pdf/"",""2021 Catch-Only Projection Update for Darkblotched Rockfish"")"
2023,"Dover Sole","CW","1 (Year Based)",.45,.065,63834,59685,50000,"Non-Overfished","OFL projected using a 30% SPR harvest rate in the 2021 full assessment . &nbsp; ACL = 50,000 mt.",2021,"Full","Wetzel",,"=HYPERLINK(""https://www.pcouncil.org/documents/2021/10/status-of-dover-sole-microstomus-pacificus-along-the-u-s-west-coast-in-2021.pdf/"",""2021 Dover Sole Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2021/06/g-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2021 Dover Sole Assessment"")","",""
2023,"English Sole","CW","2 (Year Based)",.45,.19,11133,9018,9018,"Non-Overfished","OFL projected using a 30% SPR harvest rate in the 2019 English Sole Updated Harvest Specification Projections. &nbsp; ACL = ABC (P* = 0.45).<br />
&nbsp;",2013,"ExSSS","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2015/01/data-moderate-stock-assessments-for-brown-china-copper-sharpchin-stripetail-and-yellowtail-rockfishes-and-english-and-rex-soles-in-2013-published-january-2015.pdf/"",""2013 Data-moderate Assessment of English Sole"")","=HYPERLINK(""https://www.pcouncil.org/documents/2013/06/f-groundfish-management-june-2013.pdf/"",""SSC Report on the 2013 English Sole Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/agenda-item-h-6-attachment-2-additional-projections-of-harvest-specifications-for-west-coast-groundfish-stocks-in-2021-and-beyond.pdf/"",""2019 Updated Harvest Projections for English Sole (Table 3)"")"
2023,"Lingcod","N of 4010","2 (Year Based)",.45,.126,5010,4378,4378,"Non-Overfished","OFLs projected using a 45% SPR harvest rate in the 2021 full assessment of lingcod N of 40&deg;10&rsquo; N lat.&nbsp;",2021,"Full","Taylor",,"=HYPERLINK(""https://www.pcouncil.org/documents/2021/12/status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021-december-2021.pdf/"",""2021 Assessment of Lingcod North of 40°10’ N lat."")","=HYPERLINK(""https://www.pcouncil.org/documents/2021/09/c-6-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2021 Lingcod Assessment"")","",""
2023,"Lingcod","S of 4010","2 (Year Based)",.45,.126,846,739,726,"Non-Overfished","OFLs projected using a 45% SPR harvest rate in the 2021 full assessment of lingcod S of 40&deg;10&rsquo; N lat.&nbsp;",2021,"Full","Johnson",,"=HYPERLINK(""https://www.pcouncil.org/documents/2021/12/status-of-lingcod-ophiodon-elongatus-along-the-southern-u-s-west-coast-in-2021-december-2021.pdf/"",""2021 Assessment of Lingcod South of 40°10’ N lat."")","=HYPERLINK(""https://www.pcouncil.org/documents/2021/09/c-6-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2021 Lingcod Assessment"")","",""
2023,"Longnose Skate","CW","2 (Year Based)",.45,.143,1993,1708,1708,"Non-Overfished","OFLs projected using a 45% SPR harvest rate in the 2019 assessment. &nbsp;ACL = ABC.<br />
&nbsp;",2019,"Full","Gertseva",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/stock-assessment-of-the-longnose-skate-beringraja-rhina-in-state-and-federal-waters-off-california-oregon-and-washington-v-october-21-2019.pdf/"",""2019 Longnose Skate Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Longnose Skate Assessment"")","",""
2023,"Longspine Thornyhead","CW","2 (Year Based)",.4,.346,,,,"Non-Overfished","Coastwide OFL projected using a 50% SPR harvest rate in the 2019 catch-only projection update. &nbsp;The coastwide ABC (P* = 0.4) is apportioned N (76%) and S (24%) of 34&deg;27&rsquo; N lat. to determine ACLs based on the 2003-2012 average swept area biomass from the NMFS trawl survey.<br />
&nbsp;",2013,"Full","Stephens",,"=HYPERLINK(""https://www.pcouncil.org/documents/2014/02/stock-assessment-and-status-of-longspine-thornyhead-sebastolobus-altivelis-off-california-oregon-and-washington-in-2013-published-january-5-2014.pdf/"",""2013 Longspine Thornyhead Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2013/09/g-groundfish-management-september-2013.pdf/"",""SSC Report on the 2013 Longspine Thornyhead Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-supplemental-revised-attachment-23.pdf/"",""2019 Catch-Only Update Projection for Longspine Thornyhead"")"
2023,"    Longspine Thornyhead","S of 3427","2 (Year Based)",.4,.346,,,725,"Non-Overfished","Coastwide OFL projected using a 50% SPR harvest rate in the 2019 catch-only projection update. &nbsp;The coastwide ABC (P* = 0.4) is apportioned N (76%) and S (24%) of 34&deg;27&rsquo; N lat. to determine ACLs based on the 2003-2012 average swept area biomass from the NMFS trawl survey.",2013,"Full","Stephens",,"=HYPERLINK(""https://www.pcouncil.org/documents/2014/02/stock-assessment-and-status-of-longspine-thornyhead-sebastolobus-altivelis-off-california-oregon-and-washington-in-2013-published-january-5-2014.pdf/"",""2013 Longspine Thornyhead Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2013/09/g-groundfish-management-september-2013.pdf/"",""SSC Report on the 2013 Longspine Thornyhead Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-supplemental-revised-attachment-23.pdf/"",""2019 Catch-Only Update Projection for Longspine Thornyhead"")"
2023,"    Longspine Thornyhead","N of 3427","2 (Year Based)",.4,.346,,,2295,"Non-Overfished","Coastwide OFL projected using a 50% SPR harvest rate in the 2019 catch-only projection update. &nbsp;The coastwide ABC (P* = 0.4) is apportioned N (76%) and S (24%) of 34&deg;27&rsquo; N lat. to determine ACLs based on the 2003-2012 average swept area biomass from the NMFS trawl survey.",2013,"Full","Stephens",,"=HYPERLINK(""https://www.pcouncil.org/documents/2014/02/stock-assessment-and-status-of-longspine-thornyhead-sebastolobus-altivelis-off-california-oregon-and-washington-in-2013-published-january-5-2014.pdf/"",""2013 Longspine Thornyhead Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2013/09/g-groundfish-management-september-2013.pdf/"",""SSC Report on the 2013 Longspine Thornyhead Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-supplemental-revised-attachment-23.pdf/"",""2019 Catch-Only Update Projection for Longspine Thornyhead"")"
2023,"Pacific Ocean Perch","N of 4010","2 (Year Based)",.45,.159,4248,3573,3573,"Non-Overfished","OFL projected using a 50% SPR harvest rate in the 2019 Pacific Ocean Perch Updated Harvest Specification Projections. &nbsp; ACL = ABC (P* = 0.45).",2017,"Full","Wetzel",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/12/status-of-pacific-ocean-perch-sebastes-alutus-along-the-us-west-coast-in-2017.pdf/"",""2017 Pacific Ocean Perch Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/11/agenda-item-f-4-a-supplemental-ssc-report-1.pdf/"",""SSC Report on the 2017 Pacific Ocean Perch Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-8-supplemental-attachment-2.pdf/"",""2019 Updated Harvest Specification Projections for Pacific Ocean Perch (Table 13)"")"
2023,"Petrale Sole","CW","1 (Year Based)",.45,.074,3763,3485,3485,"Non-Overfished","OFL projected using a 30% SPR harvest rate in the 2021 catch-only projection update.&nbsp; &nbsp;ACL = ABC (P* = 0.45). &nbsp;30 mt allocation to non-trawl and the remainder to trawl. The allocation percentages shown in the Allocation Type are an artifact of the database; they are not used to allocate petrale sole.",2019,"Update","Wetzel",,"=HYPERLINK(""https://www.pcouncil.org/documents/2020/03/status-of-petrale-sole-eopsetta-jordani-along-the-u-s-west-coast-in-2019-october-2019.pdf/"",""2019 Update Assessment for Petrale Sole"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Petrale Sole Update"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2021/08/c-6-attachment-10-catch-only-projection-for-petrale-sole-eopsetta-jordani-in-2021.pdf/"",""2021 Catch-Only Update of the 2019 Assessment"")"
2023,"Sablefish","CW","1 (Year Based)",.35,.187,11577,9412,,"Non-Overfished","OFLs projected using a 45% SPR harvest rate in the 2021 update assessment. &nbsp;ACL = ABC (P* = 0.35). &nbsp;ACLs are based on an apportionment of the coastwide ABC with 78.4% to the N and 21.6% to the S of 36&deg; N. lat, determined using the average 2014&ndash;2018 annual swept area biomass estimates from the NMFS NWFSC trawl survey.",2021,"Update","Kapur",,"=HYPERLINK(""https://www.pcouncil.org/documents/2021/06/g-5-attachment-5-draft-full-assessment-status-of-sablefish-anoplopoma-fimbria-along-the-us-west-coast-in-2021-electronic-only.pdf/"",""2021 Sablefish Update Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2021/06/g-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2021 Sablefish Update Assessment"")","",""
